iter	Logloss
0	0.6918487862
1	0.6901194387
2	0.6889467643
3	0.686971036
4	0.6845425009
5	0.6822183683
6	0.6798269822
7	0.678717034
8	0.6775924218
9	0.6755401994
10	0.6748477792
11	0.6740231313
12	0.6725793275
13	0.6719749434
14	0.6704072238
15	0.6692295455
16	0.6676590722
17	0.6666871644
18	0.6661177776
19	0.6652974111
20	0.6640879218
21	0.6635755362
22	0.6621257978
23	0.6606702989
24	0.6600430342
25	0.6592601003
26	0.6585761838
27	0.657677949
28	0.6568607032
29	0.6563957499
30	0.655618675
31	0.6544608228
32	0.6535507446
33	0.6528554622
34	0.6522057366
35	0.6516056926
36	0.6510289195
37	0.6501622669
38	0.6490116656
39	0.6487303075
40	0.6480951218
41	0.6472805175
42	0.6471125423
43	0.6462955939
44	0.6456611947
45	0.6451128794
46	0.6448414257
47	0.644091476
48	0.6429827047
49	0.6423367314
50	0.6415031552
51	0.6410773851
52	0.6405664352
53	0.6393700404
54	0.6393596223
55	0.638003258
56	0.6371591737
57	0.6363688163
58	0.6362542372
59	0.6360462819
60	0.6358371617
61	0.6349772783
62	0.6347309226
63	0.6340451104
64	0.6334100375
65	0.6331478485
66	0.6326211432
67	0.6324269402
68	0.6320331554
69	0.6316093301
70	0.6316074568
71	0.6308333663
72	0.6306611858
73	0.6301022946
74	0.6296637878
75	0.6291102045
76	0.6286814488
77	0.6285141379
78	0.6284807037
79	0.6278229744
80	0.6275617287
81	0.6273794408
82	0.6269651391
83	0.6264658336
84	0.6260893163
85	0.6256279997
86	0.6248852403
87	0.623769583
88	0.6233770559
89	0.6230294566
90	0.6226410744
91	0.622621398
92	0.622498249
93	0.6222251542
94	0.6219773292
95	0.6216830265
96	0.6213822148
97	0.62107318
98	0.62072572
99	0.6199498132
100	0.6199074433
101	0.619367491
102	0.6187976841
103	0.6180923476
104	0.6177927467
105	0.6176791802
106	0.6175151164
107	0.6175151136
108	0.617179209
109	0.6167184874
110	0.6159672886
111	0.6154020043
112	0.6148262297
113	0.6146900608
114	0.6139527605
115	0.6137085723
116	0.6129829084
117	0.6124827999
118	0.6120885248
119	0.6117782282
120	0.6114011697
121	0.610924775
122	0.6105782146
123	0.6104628458
124	0.6104350039
125	0.6102926503
126	0.6100183361
127	0.6097244505
128	0.6094721377
129	0.6092924095
130	0.6090689844
131	0.608693215
132	0.6084997541
133	0.6078729438
134	0.6076075792
135	0.6069725892
136	0.6067656677
137	0.6067494962
138	0.6067494931
139	0.6065333932
140	0.6061472305
141	0.6060249389
142	0.6059302265
143	0.6056306346
144	0.6050301482
145	0.6046440744
146	0.6044579859
147	0.6043128077
148	0.6039352975
149	0.6039352933
150	0.6039343132
151	0.6035884513
152	0.6026290896
153	0.6022951875
154	0.6017638374
155	0.601446098
156	0.6007330267
157	0.6006702779
158	0.6003454983
159	0.6002223172
160	0.6000743587
161	0.5998883977
162	0.5996686003
163	0.5984409801
164	0.5984409788
165	0.5982455773
166	0.5981318421
167	0.5981217854
168	0.5975415834
169	0.5972922093
170	0.596289543
171	0.5958541791
172	0.5958532479
173	0.5954050203
174	0.595152796
175	0.5946062052
176	0.5942810687
177	0.5941220663
178	0.5934226883
179	0.592865328
180	0.5928577612
181	0.5928512636
182	0.592496622
183	0.5921094192
184	0.5920353831
185	0.5919544523
186	0.5918621069
187	0.5914464908
188	0.5913087193
189	0.5907787313
190	0.5907772333
191	0.5903905606
192	0.5902669751
193	0.5900907517
194	0.5900512432
195	0.5896604388
196	0.5892869405
197	0.5887086208
198	0.588591525
199	0.5883179315
200	0.5878773324
201	0.5876869104
202	0.587397634
203	0.5871254534
204	0.5867972503
205	0.5864805958
206	0.5859990806
207	0.585920637
208	0.5856174772
209	0.584952009
210	0.5847460185
211	0.5841067038
212	0.5839087202
213	0.5836665454
214	0.5832938377
215	0.5827978404
216	0.5825036992
217	0.5823186384
218	0.5820735751
219	0.5814529611
220	0.580738361
221	0.5806956002
222	0.5805736017
223	0.5803180036
224	0.5799794979
225	0.5794853209
226	0.5790298784
227	0.5785541367
228	0.5781189741
229	0.5779138212
230	0.5775996084
231	0.577516781
232	0.5772522932
233	0.5769684835
234	0.576370414
235	0.5762247576
236	0.5760918744
237	0.5756137054
238	0.5751475236
239	0.5747864939
240	0.5740602331
241	0.5739217491
242	0.5737680316
243	0.5734421015
244	0.5733162921
245	0.5729585699
246	0.5721701092
247	0.571366962
248	0.5711493243
249	0.570986339
250	0.5707639559
251	0.5702915872
252	0.5700998167
253	0.5692334611
254	0.5690545332
255	0.5688383097
256	0.5686618887
257	0.5682341836
258	0.5680200868
259	0.5678545585
260	0.5671923892
261	0.5663011857
262	0.565843995
263	0.5652479316
264	0.564738265
265	0.5645819102
