iter	Passed	Remaining
0	8	8206
1	10	5160
2	12	4202
3	15	3916
4	19	3790
5	22	3722
6	26	3769
7	29	3663
8	31	3486
9	36	3570
10	38	3467
11	47	3907
12	53	4063
13	55	3908
14	59	3900
15	63	3880
16	66	3849
17	69	3768
18	70	3664
19	77	3821
20	87	4097
21	89	3996
22	91	3890
23	93	3813
24	96	3765
25	100	3752
26	102	3701
27	105	3657
28	108	3637
29	112	3630
30	116	3633
31	118	3598
32	121	3566
33	123	3503
34	125	3469
35	128	3432
36	130	3406
37	133	3372
38	135	3331
39	139	3348
40	141	3318
41	144	3300
42	146	3265
43	150	3266
44	152	3246
45	155	3230
46	157	3199
47	160	3185
48	164	3193
49	166	3166
50	168	3140
51	173	3166
52	178	3181
53	180	3167
54	182	3131
55	184	3105
56	188	3118
57	190	3099
58	193	3080
59	195	3068
60	198	3060
61	201	3044
62	203	3028
63	206	3019
64	211	3047
65	222	3146
66	226	3149
67	228	3127
68	229	3097
69	231	3070
70	231	3032
71	235	3037
72	236	3006
73	238	2979
74	239	2952
75	244	2972
76	250	3007
77	252	2981
78	253	2950
79	254	2924
80	255	2901
81	259	2899
82	261	2884
83	263	2869
84	264	2846
85	265	2824
86	267	2804
87	268	2785
88	270	2765
89	272	2751
90	274	2739
91	275	2715
92	276	2698
93	278	2680
94	279	2660
95	282	2661
96	284	2644
97	285	2628
98	287	2612
99	290	2617
100	291	2598
101	293	2582
102	294	2566
103	295	2548
104	297	2532
105	298	2515
106	299	2499
107	300	2478
108	301	2462
109	302	2447
110	304	2440
111	306	2431
112	308	2422
113	309	2406
114	310	2391
115	314	2398
116	316	2387
117	318	2379
118	322	2388
119	324	2378
120	325	2367
121	327	2356
122	328	2342
123	329	2329
124	330	2313
125	332	2303
126	333	2291
127	335	2283
128	336	2273
129	338	2264
130	340	2259
131	341	2248
132	343	2236
133	347	2245
134	348	2234
135	350	2225
136	353	2229
137	355	2223
138	357	2214
139	358	2203
140	359	2192
141	360	2180
142	362	2170
143	363	2160
144	364	2150
145	369	2162
146	371	2152
147	372	2141
148	373	2131
149	373	2118
150	374	2107
151	376	2102
152	378	2094
153	379	2085
154	380	2076
155	382	2068
156	385	2069
157	386	2058
158	387	2049
159	388	2041
160	390	2033
161	391	2023
162	392	2016
163	393	2007
164	394	1995
165	395	1986
166	396	1979
167	397	1970
168	401	1973
169	403	1969
170	404	1962
171	406	1954
172	406	1945
173	408	1938
174	409	1931
175	411	1924
176	412	1917
177	413	1909
178	415	1905
179	417	1901
180	418	1891
181	418	1882
182	420	1876
183	421	1870
184	422	1862
185	424	1855
186	425	1848
187	426	1842
188	427	1835
189	428	1828
190	430	1821
191	431	1816
192	433	1811
193	434	1806
194	435	1799
195	437	1793
196	438	1786
197	440	1782
198	441	1776
199	442	1769
200	443	1764
201	445	1759
202	447	1755
203	448	1750
204	450	1745
205	451	1740
206	453	1735
207	454	1729
208	455	1723
209	456	1717
210	457	1711
211	459	1706
212	460	1700
213	462	1699
214	465	1697
215	466	1694
216	468	1689
217	469	1684
218	470	1679
219	472	1674
220	473	1670
221	474	1663
222	475	1657
223	477	1655
224	479	1652
225	481	1648
226	482	1643
227	483	1638
228	485	1633
229	486	1628
230	487	1623
231	488	1618
232	489	1612
233	491	1607
234	493	1606
235	495	1603
236	497	1601
237	499	1597
238	500	1593
239	502	1591
240	503	1586
241	505	1582
242	506	1577
243	508	1574
244	511	1575
245	512	1570
246	513	1566
247	515	1562
248	516	1558
249	518	1554
250	519	1549
251	520	1545
252	521	1540
253	523	1537
254	528	1543
255	529	1538
256	530	1534
257	532	1530
258	533	1527
259	535	1523
260	536	1519
261	538	1515
262	539	1511
263	542	1513
264	544	1509
265	545	1505
