reg_code;reg_desc;federal;act_num;act_desc;yr;act_vrp_acc;act_depr_acc;act_labor_acc
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2005;34368984,21;1991295,92;7727860,79
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2006;37497336,93;2771318,4;8204864,15
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2007;45845672,88;4314539,43;9041663,28
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2008;61706052,29;7144142,36;11199435,46
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2009;75930002,67;11217518,29;11765529,18
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2010;76058853,28;13173608,18;11884148,77
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2011;98542117,47;11998616,35;14025569,06
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2012;110433130;12997158,05;15863901,92
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2013;120544515,9;14429579,99;16219163,58
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2014;127864672;11316776,05;14921682,75
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2015;131667037,6;9956920,93;15256696,81
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2016;139822002,4;10543178,97;15065137,2
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a01;яекэяйне, кеямне унгъиярбн, нунрю, пшанкнбярбн х пшанбндярбн;2017;142199064,4;11991160;18019521,16
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2005;69967355,63;1476969,67;5922679,63
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2006;71646618,23;2129324,19;9034552,6
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2007;74799099,47;2092679,55;9109301,83
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2008;79212308,05;3255391,14;9394605,83
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2009;62736206,76;6430418,18;7778576,72
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2010;87391553,68;3766022,81;8587859,46
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2011;100150788,4;3111635,93;9747754,47
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2012;98548434,76;4501743,99;10164680,97
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2013;97070279,78;4569418,47;10287622,05
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2014;95517183,73;5051362,3;10413959,78
1;аЕКЦНПНДЯЙЮЪ НАКЮЯРЭ;жтн;a02;днашвю онкегмшу хяйноюелшу;2015;97332081,43;5759538,64;10131039,9
